,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
38,38,14438.5,2023-11-15 10:41:11.770582,2023-11-15 10:41:11.870342,0 days 00:00:00.099760,0.8,60,0.75,0.6,12,126,COMPLETE
39,39,3946.25,2023-11-15 10:41:11.871186,2023-11-15 10:41:12.052776,0 days 00:00:00.181590,0.2,40,1.25,0.2,21,101,COMPLETE
40,40,10158.75,2023-11-15 10:41:12.054181,2023-11-15 10:41:12.140092,0 days 00:00:00.085911,0.6,90,1.0,0.30000000000000004,4,52,COMPLETE
41,41,18393.0,2023-11-15 10:41:12.141220,2023-11-15 10:41:12.218494,0 days 00:00:00.077274,0.6,20,2.0,0.30000000000000004,0,86,COMPLETE
42,42,1532.5,2023-11-15 10:41:12.219317,2023-11-15 10:41:12.396025,0 days 00:00:00.176708,0.7000000000000001,20,2.0,0.2,9,74,COMPLETE
43,43,19260.75,2023-11-15 10:41:12.397203,2023-11-15 10:41:12.466685,0 days 00:00:00.069482,0.6,10,1.75,0.4,0,81,COMPLETE
44,44,4408.75,2023-11-15 10:41:12.467560,2023-11-15 10:41:12.619512,0 days 00:00:00.151952,0.5,10,1.75,0.4,5,80,COMPLETE
45,45,930.0,2023-11-15 10:41:12.620458,2023-11-15 10:41:12.728096,0 days 00:00:00.107638,0.7000000000000001,10,1.5,0.5,12,32,COMPLETE
46,46,1535.25,2023-11-15 10:41:12.729261,2023-11-15 10:41:12.966554,0 days 00:00:00.237293,0.5,10,1.75,0.1,4,108,COMPLETE
47,47,11735.25,2023-11-15 10:41:12.967446,2023-11-15 10:41:13.110231,0 days 00:00:00.142785,0.6,10,1.75,0.6,26,147,COMPLETE
48,48,130.0,2023-11-15 10:41:13.111069,2023-11-15 10:41:13.301315,0 days 00:00:00.190246,0.30000000000000004,20,1.5,0.4,15,67,COMPLETE
49,49,8019.0,2023-11-15 10:41:13.302132,2023-11-15 10:41:13.454337,0 days 00:00:00.152205,0.7000000000000001,30,1.25,0.5,72,112,COMPLETE
50,50,99.25,2023-11-15 10:41:13.455226,2023-11-15 10:41:13.625854,0 days 00:00:00.170628,0.4,10,2.0,0.2,9,55,COMPLETE
