,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
38,38,12568.5,2023-11-15 12:00:00.294194,2023-11-15 12:00:00.399200,0 days 00:00:00.105006,0.6,70,0.25,0.9,28,90,COMPLETE
39,39,17432.5,2023-11-15 12:00:00.400103,2023-11-15 12:00:00.479788,0 days 00:00:00.079685,0.8,30,0.75,0.5,16,126,COMPLETE
40,40,15825.75,2023-11-15 12:00:00.480602,2023-11-15 12:00:00.576800,0 days 00:00:00.096198,0.30000000000000004,20,1.0,0.4,33,112,COMPLETE
41,41,17826.5,2023-11-15 12:00:00.577936,2023-11-15 12:00:00.658346,0 days 00:00:00.080410,0.7000000000000001,20,0.75,0.6,21,144,COMPLETE
42,42,14173.25,2023-11-15 12:00:00.659310,2023-11-15 12:00:00.767570,0 days 00:00:00.108260,0.8,80,1.0,0.6,25,149,COMPLETE
43,43,18211.0,2023-11-15 12:00:00.768480,2023-11-15 12:00:00.846054,0 days 00:00:00.077574,0.7000000000000001,10,0.5,0.7000000000000001,18,142,COMPLETE
44,44,18216.75,2023-11-15 12:00:00.847145,2023-11-15 12:00:00.933698,0 days 00:00:00.086553,0.9,10,0.5,0.7000000000000001,11,142,COMPLETE
45,45,17417.25,2023-11-15 12:00:00.934655,2023-11-15 12:00:01.042533,0 days 00:00:00.107878,0.9,10,0.25,0.7000000000000001,11,142,COMPLETE
46,46,197.75,2023-11-15 12:00:01.043712,2023-11-15 12:00:01.402754,0 days 00:00:00.359042,0.9,10,0.5,0.7000000000000001,0,130,COMPLETE
47,47,6371.25,2023-11-15 12:00:01.403736,2023-11-15 12:00:01.465960,0 days 00:00:00.062224,0.9,40,0.5,0.5,5,12,COMPLETE
48,48,16370.75,2023-11-15 12:00:01.466883,2023-11-15 12:00:01.570302,0 days 00:00:00.103419,0.5,30,0.25,0.7000000000000001,18,142,COMPLETE
49,49,15841.75,2023-11-15 12:00:01.571249,2023-11-15 12:00:01.645544,0 days 00:00:00.074295,0.7000000000000001,20,1.25,0.6,13,58,COMPLETE
50,50,18108.25,2023-11-15 12:00:01.646466,2023-11-15 12:00:01.725687,0 days 00:00:00.079221,0.9,10,2.0,0.9,43,122,COMPLETE
51,51,18212.75,2023-11-15 12:00:01.726769,2023-11-15 12:00:01.814283,0 days 00:00:00.087514,0.8,10,0.75,0.8,19,142,COMPLETE
52,52,18125.0,2023-11-15 12:00:01.815177,2023-11-15 12:00:01.900896,0 days 00:00:00.085719,0.8,10,0.5,0.7000000000000001,9,141,COMPLETE
53,53,18584.5,2023-11-15 12:00:01.901778,2023-11-15 12:00:01.972340,0 days 00:00:00.070562,0.8,10,1.0,0.8,19,130,COMPLETE
54,54,17741.5,2023-11-15 12:00:01.973570,2023-11-15 12:00:02.057195,0 days 00:00:00.083625,0.8,20,1.0,0.9,3,130,COMPLETE
55,55,17857.5,2023-11-15 12:00:02.058210,2023-11-15 12:00:02.151495,0 days 00:00:00.093285,0.9,20,1.25,0.8,26,130,COMPLETE
56,56,15918.0,2023-11-15 12:00:02.152320,2023-11-15 12:00:02.220643,0 days 00:00:00.068323,0.8,10,1.5,0.8,14,38,COMPLETE
57,57,14233.5,2023-11-15 12:00:02.221511,2023-11-15 12:00:02.321965,0 days 00:00:00.100454,0.1,10,1.0,0.9,21,78,COMPLETE
58,58,17446.25,2023-11-15 12:00:02.322965,2023-11-15 12:00:02.405623,0 days 00:00:00.082658,0.9,30,1.5,0.7000000000000001,19,121,COMPLETE
59,59,18491.5,2023-11-15 12:00:02.406713,2023-11-15 12:00:02.488473,0 days 00:00:00.081760,0.8,10,1.25,0.8,9,138,COMPLETE
60,60,15994.0,2023-11-15 12:00:02.489602,2023-11-15 12:00:02.584538,0 days 00:00:00.094936,0.7000000000000001,50,1.75,0.6,57,137,COMPLETE
61,61,18900.75,2023-11-15 12:00:02.585400,2023-11-15 12:00:02.677481,0 days 00:00:00.092081,0.8,10,1.25,0.8,10,145,COMPLETE
62,62,18024.0,2023-11-15 12:00:02.678692,2023-11-15 12:00:02.772173,0 days 00:00:00.093481,0.9,20,1.25,0.8,4,146,COMPLETE
63,63,18208.0,2023-11-15 12:00:02.773039,2023-11-15 12:00:02.849077,0 days 00:00:00.076038,0.8,10,1.25,0.7000000000000001,9,128,COMPLETE
64,64,18200.0,2023-11-15 12:00:02.850117,2023-11-15 12:00:02.936147,0 days 00:00:00.086030,0.8,10,1.5,0.9,12,135,COMPLETE
65,65,17300.75,2023-11-15 12:00:02.937186,2023-11-15 12:00:03.187800,0 days 00:00:00.250614,0.9,20,1.0,0.8,8,118,COMPLETE
66,66,18584.75,2023-11-15 12:00:03.198726,2023-11-15 12:00:03.343451,0 days 00:00:00.144725,0.7000000000000001,10,1.75,0.7000000000000001,3,150,COMPLETE
67,67,18318.0,2023-11-15 12:00:03.352461,2023-11-15 12:00:03.442568,0 days 00:00:00.090107,0.7000000000000001,20,1.75,0.6,4,150,COMPLETE
68,68,17643.75,2023-11-15 12:00:03.449460,2023-11-15 12:00:03.599742,0 days 00:00:00.150282,0.7000000000000001,30,2.0,0.8,1,150,COMPLETE
69,69,18587.75,2023-11-15 12:00:03.601950,2023-11-15 12:00:03.736962,0 days 00:00:00.135012,0.6,10,1.75,0.5,3,139,COMPLETE
70,70,18113.25,2023-11-15 12:00:03.742496,2023-11-15 12:00:03.914706,0 days 00:00:00.172210,0.6,10,2.25,0.4,2,137,COMPLETE
71,71,18201.25,2023-11-15 12:00:03.919515,2023-11-15 12:00:04.024237,0 days 00:00:00.104722,0.6,10,1.75,0.6,8,133,COMPLETE
72,72,18115.75,2023-11-15 12:00:04.028888,2023-11-15 12:00:04.121929,0 days 00:00:00.093041,0.7000000000000001,20,2.0,0.5,5,146,COMPLETE
