,value,max_episodes,gamma,alpha,initialization,decay_rate,decay_interval
120,100.0,722,0.2,0.2,76,1.75,1
121,100.0,627,0.5,0.9,9,3.0,41
122,100.0,564,0.5,0.9,6,3.0,31
123,100.0,607,0.6,0.9,16,3.0,41
124,100.0,502,0.5,0.8,19,2.75,51
125,-100.0,150,0.4,0.9,41,1.5,61
126,100.0,668,0.8,0.7000000000000001,12,3.0,71
127,100.0,353,0.30000000000000004,0.4,68,2.75,21
128,100.0,694,0.1,0.6,59,1.25,81
129,100.0,584,0.9,0.8,72,2.5,71
130,100.0,384,0.6,0.9,89,2.25,51
131,100.0,953,0.7000000000000001,0.7000000000000001,32,2.75,41
132,100.0,783,0.7000000000000001,0.7000000000000001,29,3.0,41
133,100.0,798,0.5,0.1,100,2.75,31
134,100.0,981,0.30000000000000004,0.8,25,2.5,61
135,100.0,813,0.8,0.7000000000000001,34,2.75,41
136,100.0,750,0.8,0.6,46,0.5,91
137,100.0,276,0.5,0.2,13,3.0,51
138,100.0,715,0.2,0.9,81,2.0,61
139,100.0,302,0.4,0.7000000000000001,38,2.25,71
140,-100.0,203,0.1,0.8,4,1.0,41
141,100.0,768,0.30000000000000004,0.8,48,3.0,91
142,100.0,701,0.30000000000000004,0.8,43,3.0,91
143,100.0,640,0.30000000000000004,0.7000000000000001,21,3.0,91
144,100.0,741,0.6,0.9,26,3.0,81
145,100.0,662,0.30000000000000004,0.8,54,2.5,81
146,100.0,685,0.30000000000000004,0.9,7,0.75,61
147,100.0,471,0.2,0.5,64,2.75,71
148,100.0,543,0.4,0.8,52,0.25,91
149,100.0,617,0.5,0.30000000000000004,36,1.5,81
150,100.0,327,0.1,0.7000000000000001,18,2.75,61
151,100.0,729,0.6,0.8,29,2.5,51
152,100.0,819,0.6,0.9,27,2.5,51
153,100.0,843,0.7000000000000001,0.8,23,2.0,61
154,100.0,946,0.5,0.6,61,2.25,41
155,100.0,849,0.7000000000000001,0.8,15,1.75,71
156,100.0,862,0.4,0.7000000000000001,21,3.0,31
157,100.0,918,0.9,0.9,33,2.5,71
158,100.0,774,0.5,0.2,0,1.25,51
159,100.0,583,0.5,0.4,30,2.75,61
160,100.0,996,0.30000000000000004,0.9,24,2.25,61
161,100.0,356,0.9,0.6,11,1.5,1
162,100.0,511,0.9,0.5,13,1.5,1
163,100.0,413,0.9,0.7000000000000001,17,1.5,21
164,100.0,567,0.1,0.6,9,1.75,11
165,100.0,390,0.2,0.8,20,1.0,71
166,100.0,901,0.8,0.5,56,1.25,41
167,-100.0,235,0.6,0.7000000000000001,96,0.5,11
168,100.0,713,0.9,0.9,14,3.0,1
169,100.0,533,0.30000000000000004,0.8,18,2.0,61
170,100.0,792,0.7000000000000001,0.6,86,2.75,91
171,100.0,623,0.4,0.1,46,2.5,51
172,100.0,641,0.5,0.1,49,3.0,51
173,100.0,669,0.5,0.1,41,2.75,41
174,100.0,595,0.30000000000000004,0.4,50,3.0,51
175,100.0,653,0.4,0.30000000000000004,43,2.5,61
176,100.0,687,0.6,0.2,47,1.75,71
177,100.0,600,0.1,0.30000000000000004,39,0.75,81
178,100.0,625,0.4,0.9,35,2.25,61
179,100.0,556,0.30000000000000004,0.8,77,2.75,51
180,100.0,291,0.2,0.1,11,1.5,21
181,-100.0,120,0.2,0.9,53,2.0,91
182,100.0,160,0.1,0.9,70,2.5,71
183,100.0,337,0.30000000000000004,0.9,72,3.0,11
184,100.0,178,0.5,0.9,67,2.25,81
185,-100.0,121,0.2,0.7000000000000001,45,2.5,71
186,0.0,135,0.8,0.8,2,2.25,91
187,100.0,256,0.5,0.9,27,0.5,61
188,100.0,372,0.30000000000000004,0.8,31,2.0,41
189,100.0,308,0.1,0.9,74,3.0,71
190,100.0,965,0.4,0.7000000000000001,15,1.75,81
191,100.0,575,0.7000000000000001,0.6,79,1.0,31
192,100.0,490,0.7000000000000001,0.6,5,0.75,31
193,100.0,447,0.7000000000000001,0.6,9,1.0,31
194,100.0,557,0.7000000000000001,0.5,7,1.0,21
195,100.0,535,0.6,0.6,13,1.25,71
196,100.0,222,0.6,0.7000000000000001,59,2.0,41
197,100.0,524,0.30000000000000004,0.6,22,1.5,61
198,100.0,755,0.9,0.8,91,2.5,51
199,100.0,986,0.7000000000000001,0.2,51,3.0,91
200,100.0,465,0.30000000000000004,0.9,16,2.75,41
201,100.0,819,0.4,0.4,83,1.75,71
202,100.0,772,0.4,0.30000000000000004,12,1.75,71
203,100.0,722,0.4,0.2,75,1.75,71
204,100.0,799,0.4,0.4,70,2.25,71
205,-100.0,101,0.2,0.30000000000000004,25,1.0,61
206,100.0,583,0.30000000000000004,0.4,18,1.5,81
207,100.0,753,0.4,0.30000000000000004,81,1.75,1
208,100.0,735,0.1,0.9,63,3.0,11
209,100.0,700,0.5,0.1,33,2.5,81
210,100.0,612,0.30000000000000004,0.2,10,2.0,51
211,100.0,857,0.4,0.7000000000000001,98,1.75,81
212,100.0,937,0.4,0.1,93,1.75,81
213,100.0,886,0.5,0.1,29,1.5,81
214,100.0,826,0.5,0.9,89,1.75,71
215,100.0,549,0.4,0.1,94,2.0,91
216,100.0,320,0.9,0.5,48,3.0,61
217,-100.0,355,0.4,0.1,98,1.25,71
218,100.0,789,0.5,0.8,87,2.25,71
219,100.0,635,0.8,0.2,81,2.75,81
220,-100.0,869,0.2,0.9,96,0.25,61
