,value,max_episodes,gamma,alpha,initialization,decay_rate,decay_interval
117,100.0,413,0.30000000000000004,0.4,68,1.25,31
118,100.0,717,0.2,0.6,46,1.5,11
119,100.0,341,0.6,0.7000000000000001,88,1.75,1
120,100.0,659,0.4,0.30000000000000004,92,2.5,81
121,100.0,442,0.1,0.1,56,2.25,1
122,100.0,461,0.1,0.1,59,2.0,1
123,100.0,961,0.1,0.2,51,2.25,11
124,100.0,556,0.2,0.1,48,2.5,41
125,100.0,485,0.1,0.30000000000000004,40,1.75,11
126,100.0,695,0.2,0.8,73,1.5,21
127,100.0,618,0.30000000000000004,0.5,65,0.5,21
128,100.0,903,0.8,0.2,95,1.25,31
129,100.0,542,0.2,0.2,30,1.0,1
130,100.0,383,0.30000000000000004,0.4,62,2.25,51
131,100.0,309,0.9,0.5,96,0.75,61
132,100.0,514,0.9,0.4,91,0.75,71
133,100.0,173,0.8,0.6,35,0.5,71
134,-100.0,218,0.1,0.30000000000000004,99,1.0,81
135,100.0,285,0.7000000000000001,0.30000000000000004,100,0.75,61
136,100.0,250,0.9,0.30000000000000004,19,3.0,91
137,100.0,116,0.8,0.5,70,0.75,41
138,100.0,674,0.30000000000000004,0.4,93,1.5,11
139,100.0,603,0.4,0.30000000000000004,15,0.5,61
140,100.0,570,0.5,0.9,58,1.0,71
141,100.0,403,0.4,0.6,84,2.0,21
142,100.0,535,0.4,0.7000000000000001,78,1.75,21
143,100.0,632,0.5,0.8,80,2.0,21
144,100.0,988,0.30000000000000004,0.5,89,1.5,31
145,100.0,475,0.6,0.7000000000000001,86,0.25,11
146,100.0,204,0.30000000000000004,0.6,68,1.5,21
147,100.0,586,0.5,0.8,76,1.75,41
148,100.0,871,0.2,0.6,64,0.5,51
149,100.0,655,0.30000000000000004,0.5,26,1.25,21
150,100.0,335,0.6,0.4,44,2.0,31
151,100.0,255,0.7000000000000001,0.4,62,1.0,71
152,100.0,357,0.8,0.4,71,1.25,51
153,100.0,275,0.6,0.30000000000000004,67,1.5,61
154,100.0,505,0.7000000000000001,0.1,7,1.5,61
155,100.0,309,0.7000000000000001,0.4,73,1.75,41
156,100.0,366,0.1,0.4,48,1.25,51
157,100.0,832,0.4,0.5,54,1.25,81
158,100.0,454,0.7000000000000001,0.30000000000000004,82,1.5,31
159,100.0,565,0.1,0.30000000000000004,32,1.0,41
160,-100.0,238,0.2,0.2,75,3.0,1
161,100.0,423,0.4,0.1,52,0.25,31
162,100.0,689,0.4,0.2,97,0.25,21
163,100.0,775,0.5,0.30000000000000004,61,0.25,31
164,100.0,731,0.30000000000000004,0.2,47,2.75,21
165,100.0,610,0.8,0.4,40,0.5,31
166,100.0,645,0.30000000000000004,0.8,50,0.75,71
167,100.0,707,0.9,0.5,65,1.5,41
168,100.0,668,0.4,0.7000000000000001,93,2.25,11
169,100.0,907,0.5,0.1,37,0.25,21
170,100.0,287,0.30000000000000004,0.30000000000000004,28,1.25,31
171,100.0,447,0.1,0.5,88,2.5,51
172,100.0,491,0.1,0.5,43,2.5,51
173,100.0,799,0.1,0.5,84,3.0,91
174,100.0,933,0.1,0.6,80,2.25,41
175,100.0,414,0.2,0.2,86,2.0,51
176,100.0,471,0.6,0.5,89,1.75,61
177,100.0,526,0.4,0.6,55,2.75,71
178,100.0,436,0.1,0.30000000000000004,91,2.25,61
179,100.0,962,0.30000000000000004,0.7000000000000001,24,2.0,51
180,100.0,627,0.2,0.4,69,1.5,31
181,100.0,880,0.2,0.9,71,0.75,11
182,100.0,572,0.2,0.9,66,0.5,1
183,100.0,592,0.2,0.8,78,1.0,11
184,100.0,548,0.1,0.5,83,1.0,21
185,100.0,215,0.30000000000000004,0.9,69,0.75,21
186,100.0,391,0.4,0.30000000000000004,63,0.25,81
187,100.0,645,0.5,0.4,74,2.5,11
188,100.0,485,0.30000000000000004,0.7000000000000001,59,3.0,21
189,100.0,527,0.8,0.9,51,1.0,41
190,100.0,612,0.2,0.2,16,1.5,31
191,100.0,306,0.6,0.9,96,1.75,41
192,100.0,334,0.7000000000000001,0.9,95,1.75,41
193,100.0,321,0.6,0.5,11,1.75,41
194,100.0,848,0.6,0.9,93,0.5,41
195,100.0,176,0.6,0.9,98,0.75,51
196,100.0,267,0.1,0.30000000000000004,65,1.5,61
197,100.0,760,0.6,0.8,91,2.0,21
198,-100.0,345,0.4,0.1,81,1.5,1
199,0.0,683,0.30000000000000004,0.6,0,0.25,31
200,100.0,374,0.1,0.5,67,2.25,11
201,100.0,356,0.7000000000000001,0.7000000000000001,99,1.25,41
202,100.0,407,0.9,0.7000000000000001,95,1.25,41
203,100.0,295,0.7000000000000001,0.6,97,1.75,41
204,100.0,332,0.5,0.8,100,1.5,41
205,100.0,515,0.6,0.4,92,1.0,51
206,100.0,658,0.8,0.30000000000000004,30,2.75,31
207,100.0,322,0.2,0.8,72,3.0,21
